year,city_id,n
2008,214,99
2008,215,215
2008,218,41
2008,219,62
2011,1,108
2011,3,20
2011,4,107
2011,6,74
2011,7,55
2011,8,192
2011,9,191
2011,12,80
2011,14,50
2011,16,103
2011,18,59
2011,23,125
2011,24,371
2011,26,384
2011,27,84
2011,28,103
2011,29,183
2011,30,406
2011,32,23
2011,34,78
2011,35,117
2011,38,87
2011,39,46
2011,41,34
2011,42,80
2011,45,310
2011,50,104
2011,51,82
2011,53,231
2011,55,50
2011,56,103
2011,57,107
2011,58,134
2011,59,62
2011,62,395
2011,63,293
2011,64,395
2011,68,146
2011,69,251
2011,70,115
2011,71,57
2011,73,181
2011,74,112
2011,76,48
2011,79,98
2011,83,11
2011,84,147
2011,85,46
2011,90,157
2011,91,157
2011,92,282
2011,93,51
2011,95,127
2011,96,659
2011,98,68
2011,99,56
2011,100,41
2011,106,538
2011,109,131
2011,110,113
2011,112,73
2011,114,184
2011,116,116
2011,117,139
2011,119,79
2011,121,359
2011,123,138
2011,127,442
2011,131,83
2011,134,95
2011,136,227
2011,140,151
2011,146,251
2011,147,282
2011,150,174
2011,151,287
2011,154,279
2011,157,73
2011,160,160
2011,163,144
2011,164,52
2011,165,59
2011,168,80
2011,169,105
2011,170,269
2011,174,56
2011,175,102
2011,179,123
2011,180,89
2011,183,78
2011,185,35
2011,189,14
2011,190,90
2011,192,99
2011,194,60
2011,196,34
2011,198,93
2011,199,70
2011,200,87
2011,203,94
2011,206,40
2011,209,117
2011,214,96
2011,215,231
2011,218,41
2011,219,62
2012,1,108
2012,3,20
2012,4,107
2012,6,74
2012,7,56
2012,8,205
2012,9,204
2012,12,80
2012,14,50
2012,16,106
2012,18,61
2012,23,129
2012,24,421
2012,26,385
2012,27,84
2012,28,107
2012,29,189
2012,30,411
2012,32,23
2012,34,78
2012,35,117
2012,38,86
2012,39,37
2012,41,34
2012,42,80
2012,45,310
2012,50,104
2012,51,82
2012,53,225
2012,55,50
2012,56,98
2012,57,107
2012,58,134
2012,59,62
2012,62,396
2012,63,292
2012,64,396
2012,68,146
2012,69,252
2012,70,115
2012,71,50
2012,73,183
2012,74,113
2012,76,47
2012,79,96
2012,83,11
2012,84,154
2012,85,46
2012,90,156
2012,91,156
2012,92,284
2012,93,51
2012,95,127
2012,96,660
2012,98,68
2012,99,56
2012,100,41
2012,106,542
2012,109,131
2012,110,113
2012,112,73
2012,114,184
2012,116,116
2012,117,138
2012,119,79
2012,121,359
2012,123,137
2012,127,420
2012,131,83
2012,134,95
2012,136,227
2012,140,153
2012,146,251
2012,147,283
2012,150,174
2012,151,288
2012,154,279
2012,157,74
2012,160,175
2012,163,144
2012,164,53
2012,165,60
2012,168,80
2012,169,106
2012,170,270
2012,174,56
2012,175,102
2012,179,123
2012,180,89
2012,183,78
2012,185,35
2012,189,14
2012,190,90
2012,192,99
2012,194,60
2012,196,34
2012,198,93
2012,199,70
2012,200,87
2012,203,94
2012,206,40
2012,209,120
2012,214,96
2012,215,225
2012,218,41
2012,219,65
