"","Year","Month","Day","Country","dengue_cases"
"351",2003,10,19,"Bolivia",54
"352",2003,10,19,"Brazil",26
"353",2003,10,19,"India",99
"354",2003,10,19,"Indonesia",68
"355",2003,10,19,"Mexico",157
"356",2003,10,19,"Philippines",109
"357",2003,10,19,"Singapore",119
"358",2003,10,19,"Venezuela",231
"359",2003,10,26,"Argentina",24
"360",2003,10,26,"Bolivia",35
"361",2003,10,26,"Brazil",34
"362",2003,10,26,"India",91
"363",2003,10,26,"Indonesia",76
"364",2003,10,26,"Mexico",122
"365",2003,10,26,"Philippines",103
"366",2003,10,26,"Singapore",174
"367",2003,10,26,"Venezuela",298
"368",2003,11,2,"Argentina",29
"369",2003,11,2,"Bolivia",32
"370",2003,11,2,"Brazil",38
"371",2003,11,2,"India",679
"372",2003,11,2,"Indonesia",75
"373",2003,11,2,"Mexico",159
"374",2003,11,2,"Philippines",96
"375",2003,11,2,"Singapore",195
"376",2003,11,2,"Venezuela",302
"377",2003,11,9,"Argentina",27
"378",2003,11,9,"Bolivia",44
"379",2003,11,9,"Brazil",38
"380",2003,11,9,"India",509
"381",2003,11,9,"Indonesia",6
"382",2003,11,9,"Mexico",132
"383",2003,11,9,"Philippines",9
"384",2003,11,9,"Singapore",157
"385",2003,11,9,"Venezuela",262
"386",2003,11,16,"Argentina",27
"387",2003,11,16,"Bolivia",31
"388",2003,11,16,"Brazil",46
"389",2003,11,16,"India",327
"390",2003,11,16,"Indonesia",47
"391",2003,11,16,"Mexico",88
"392",2003,11,16,"Philippines",91
"393",2003,11,16,"Singapore",126
"394",2003,11,16,"Venezuela",238
"395",2003,11,23,"Argentina",27
"396",2003,11,23,"Bolivia",3
"397",2003,11,23,"Brazil",68
"398",2003,11,23,"India",245
"399",2003,11,23,"Indonesia",55
"400",2003,11,23,"Mexico",127
"401",2003,11,23,"Philippines",88
"402",2003,11,23,"Singapore",116
"403",2003,11,23,"Venezuela",231
"404",2003,11,30,"Argentina",27
"405",2003,11,30,"Bolivia",24
"406",2003,11,30,"Brazil",63
"407",2003,11,30,"India",178
"408",2003,11,30,"Indonesia",68
"409",2003,11,30,"Mexico",79
"410",2003,11,30,"Philippines",89
"411",2003,11,30,"Singapore",129
"412",2003,11,30,"Venezuela",252
"413",2003,12,7,"Argentina",24
"414",2003,12,7,"Bolivia",16
"415",2003,12,7,"Brazil",6
"416",2003,12,7,"India",133
"417",2003,12,7,"Indonesia",58
"418",2003,12,7,"Mexico",83
"419",2003,12,7,"Philippines",91
"420",2003,12,7,"Singapore",112
"421",2003,12,7,"Venezuela",286
"422",2003,12,14,"Argentina",22
"423",2003,12,14,"Bolivia",12
"424",2003,12,14,"Brazil",55
"425",2003,12,14,"India",94
"426",2003,12,14,"Indonesia",45
"427",2003,12,14,"Mexico",66
"428",2003,12,14,"Philippines",95
"429",2003,12,14,"Singapore",109
"430",2003,12,14,"Venezuela",36
"431",2003,12,21,"Argentina",19
"432",2003,12,21,"Bolivia",11
"433",2003,12,21,"Brazil",53
"434",2003,12,21,"India",1
"435",2003,12,21,"Indonesia",55
"436",2003,12,21,"Mexico",55
"437",2003,12,21,"Philippines",98
"438",2003,12,21,"Singapore",104
"439",2003,12,21,"Venezuela",324
"440",2003,12,28,"Argentina",19
"441",2003,12,28,"Bolivia",1
"442",2003,12,28,"Brazil",49
"443",2003,12,28,"India",87
"444",2003,12,28,"Indonesia",39
"445",2003,12,28,"Mexico",42
"446",2003,12,28,"Philippines",109
"447",2003,12,28,"Singapore",117
"448",2003,12,28,"Venezuela",321
"449",2004,1,4,"Argentina",19
"450",2004,1,4,"Bolivia",1
"451",2004,1,4,"Brazil",85
"452",2004,1,4,"India",7
"453",2004,1,4,"Indonesia",65
"454",2004,1,4,"Mexico",41
"455",2004,1,4,"Philippines",105
"456",2004,1,4,"Singapore",115
"457",2004,1,4,"Venezuela",285
"458",2004,1,11,"Argentina",17
"459",2004,1,11,"Bolivia",18
"460",2004,1,11,"Brazil",95
"461",2004,1,11,"India",72
"462",2004,1,11,"Indonesia",9
"463",2004,1,11,"Mexico",36
"464",2004,1,11,"Philippines",96
"465",2004,1,11,"Singapore",109
"466",2004,1,11,"Venezuela",256
"467",2004,1,18,"Argentina",17
"468",2004,1,18,"Bolivia",7
"469",2004,1,18,"Brazil",72
"470",2004,1,18,"India",62
"471",2004,1,18,"Indonesia",39
"472",2004,1,18,"Mexico",34
"473",2004,1,18,"Philippines",97
"474",2004,1,18,"Singapore",106
"475",2004,1,18,"Venezuela",251
"476",2004,1,25,"Argentina",19
"477",2004,1,25,"Bolivia",91
"478",2004,1,25,"Brazil",57
"479",2004,1,25,"India",59
"480",2004,1,25,"Indonesia",65
"481",2004,1,25,"Mexico",33
"482",2004,1,25,"Philippines",93
"483",2004,1,25,"Singapore",108
"484",2004,1,25,"Venezuela",284
"485",2004,2,1,"Argentina",31
"486",2004,2,1,"Bolivia",68
"487",2004,2,1,"Brazil",69
"488",2004,2,1,"India",43
"489",2004,2,1,"Indonesia",58
"490",2004,2,1,"Mexico",37
"491",2004,2,1,"Philippines",88
"492",2004,2,1,"Singapore",109
"493",2004,2,1,"Venezuela",283
"494",2004,2,8,"Argentina",39
"495",2004,2,8,"Bolivia",46
"496",2004,2,8,"Brazil",67
"497",2004,2,8,"India",33
"498",2004,2,8,"Indonesia",122
"499",2004,2,8,"Mexico",32
"500",2004,2,8,"Philippines",8
"501",2004,2,8,"Singapore",145
"502",2004,2,8,"Venezuela",227
"503",2004,2,15,"Argentina",46
"504",2004,2,15,"Bolivia",34
"505",2004,2,15,"Brazil",77
"506",2004,2,15,"India",58
"507",2004,2,15,"Indonesia",295
"508",2004,2,15,"Mexico",31
"509",2004,2,15,"Philippines",74
"510",2004,2,15,"Singapore",194
"511",2004,2,15,"Venezuela",199
"512",2004,2,22,"Argentina",41
"513",2004,2,22,"Bolivia",34
"514",2004,2,22,"Brazil",88
"515",2004,2,22,"India",39
"516",2004,2,22,"Indonesia",69
"517",2004,2,22,"Mexico",33
"518",2004,2,22,"Philippines",71
"519",2004,2,22,"Singapore",178
"520",2004,2,22,"Venezuela",195
"521",2004,2,29,"Argentina",39
"522",2004,2,29,"Bolivia",3
"523",2004,2,29,"Brazil",85
"524",2004,2,29,"India",31
"525",2004,2,29,"Indonesia",1
"526",2004,2,29,"Mexico",4
"527",2004,2,29,"Philippines",73
"528",2004,2,29,"Singapore",172
"529",2004,2,29,"Venezuela",207
"530",2004,3,7,"Argentina",39
"531",2004,3,7,"Bolivia",28
